岗位名称,工作地点,岗位薪资,经验要求,学历要求,岗位标签,企业名称,企业行业,企业规模,融资状况
AIGC视觉渲染设计师(A201490),深圳-南山区,15-25k·16薪,3-5年,本科,"渲染设计,创意设计,模型设计,特效设计,场景设计,后期设计,3DMAX,Vray,Photoshop,Unity3D",Makeblock童心制物,智能硬件,1000-2000人,C轮
多模态AIGC算法研究员,深圳-福田区,45-75k·14薪,10年以上,统招本科,"算法研究,CNN,深度学习,优化算法,算法优化",某大型互联网公司,通信设备,10000人以上,战略融资
高级AIGC算法工程师,深圳-南山区,35-55k·20薪,5-10年,统招本科,"机器视觉,CV,扩散模型,GAN,VAE",OPPO,通信设备,10000人以上,Unknown
多模态AIGC算法研究员,深圳,40-70k,5-10年,统招本科,"算法研究,CNN,优化算法,算法优化,深度学习",某深圳知名通信设备公司,通信设备,10000人以上,战略融资
多模态AIGC算法研究员,深圳,50-80k·15薪,3-5年,硕士,"算法研究,CNN,算法优化,优化算法,深度学习",某知名公司,通信设备,10000人以上,战略融资
多模态AIGC算法研究员,深圳,50-80k·15薪,5-10年,硕士,"算法研究,CNN,深度学习,算法优化,优化算法",某知名公司,通信设备,10000人以上,战略融资
多模态AIGC算法研究员,深圳-福田区,30-60k·15薪,3-5年,硕士,"算法研究,CNN,深度学习",某深圳大型通信设备公司,通信设备,10000人以上,战略融资
AIGC算法研究员,深圳,50-80k,5-10年,统招本科,"算法研究,AIGC,多模态,ChatGPT,StableDiffusion,多模态图像/3D/视频生成,AIGC+图像,大模型,文本、图像、视频,大语言模型",某知名企业,通信业,10000人以上,战略融资
多模态AIGC算法研究员,深圳,60-90k·16薪,经验不限,统招本科,"AIGC,算法研究",某大型知名通信设备公司,通信设备,10000人以上,战略融资
AIGC产品经理,深圳-南山区,25-50k,3-5年,本科,"工具产品,IT互联网,电子/半导体/集成电路,用户研究,产品规划,产品设计,产品优化,数据分析",微梦传媒,广播/影视/录音,100-499人,融资未公开
多模态AIGC算法研究员（中高端）,深圳,100-130k,5-10年,统招本科,"AIGC,多模态生成,深度学习算法,ΑI生成",某深圳智能硬件公司,智能硬件,5000-10000人,Unknown
AIGC 算法工程师,深圳,30-45k·14薪,3-5年,本科,"信息抽取,问答系统,自然语言处理",深圳平安综合金融服务有限公司,基金/证券/期货,10000人以上,Unknown
AIGC算法工程师/专家,深圳-南山区,35-50k·16薪,5-10年,本科,"自然语言处理,算法开发,Python",道通科技,汽车零部件及配件,1000-2000人,科创板上市
【深圳】混元AIGC大模型产品经理_C端策划,深圳-南山区,30-60k·16薪,5-10年,本科,"策略产品,增长产品,用户研究,产品优化,产品规划,产品设计,数据分析,团队管理",腾讯,互联网,10000人以上,港股上市
AIGC产品岗,深圳-南山区,15-24k,1-3年,本科,"科研/技术服务,产品设计,产品规划,产品优化",熠谱科技,互联网,100-499人,Unknown
多模态AIGC算法研究员,深圳-福田区,35-65k·16薪,5-10年,统招本科,"算法研究,算法优化,图像学习,图像优化,算法识别,深度学习,变换器模型,强化学习,序列到序列模型,AIGC人工智能",荣耀终端有限公司,通信设备,10000人以上,其他
多模态AIGC算法研究员,深圳-福田区,35-60k·13薪,5-10年,本科,"深度学习,CNN,算法设计",荣耀终端有限公司,通信设备,10000人以上,其他
多模态AIGC算法研究员,深圳-福田区,30-60k,1-3年,统招本科,"算法研究,CNN,深度学习",荣耀终端有限公司,通信设备,10000人以上,其他
AIGC高级工程师,深圳-南山区,30-50k·15薪,3-5年,本科,Unknown,道通科技,汽车零部件及配件,1000-2000人,科创板上市
AIGC开发工程师,深圳-南山区,30-35k·15薪,3-5年,本科,Unknown,道通科技,汽车零部件及配件,1000-2000人,科创板上市
AIGC图像视频生成算法,深圳,100-150k,3-5年,硕士,"视频算法,视频生成,AIGC,图像生成",某深圳互联网公司,互联网,50-99人,Unknown
CTO(AIGC/虚拟社交/游戏),深圳-福田区,70-100k,10年以上,本科,"技术管理,团队管理,架构设计,C语言,人工智能领域,游戏,虚拟社交,AIGC,AI,元宇宙",光汇石油,石化,500-999人,融资未公开
AIGC全栈设计师(A82401),深圳,25-35k·14薪,1-3年,统招本科,Unknown,安克创新,电子/半导体/集成电路,2000-5000人,Unknown
AIGC设计师,深圳-南山区,10-15k,1-3年,本科,"stable Difussion,Midjourney",PL GROUP,服装/纺织/皮革,100-499人,Unknown
AIGC算法研究员（文生3D）北京/深圳,深圳,35-65k·16薪,3-5年,硕士,"深度学习,深度学习框架",某大型知名互联网公司,互联网,10000人以上,已上市
AIGC产品经理,深圳,20-50k·16薪,经验不限,统招本科,"AI人工智能产品,人工智能,to C,to G,用户研究,产品设计,团队管理",TCL实业控股股份有限公司,电子/半导体/集成电路,10000人以上,Unknown
AIGC算法工程师（广告创意）,深圳-南山区,40-80k·15薪,3-5年,本科,"深度学习,语言模型,自然语言处理,深度学习框架",字节跳动,互联网,10000人以上,其他
AIGC算法研究员（文生3D）,深圳,35-65k·16薪,5-10年,硕士,Python,某大型知名互联网公司,互联网,10000人以上,已上市
AIGC服务端工程师--深圳/广州,深圳,65-85k,5-10年,本科,"Golang,C++",某北京大型云计算/大数据公司,云计算/大数据,10000人以上,D轮及以上
AIGC算法高级工程师,深圳-龙岗区,50-80k·18薪,1-3年,硕士,"视觉感知,视觉处理,视觉识别,视觉开发,C/C++,Python,PyTorch,深度学习,自然语言处理",华为,通信设备,10000人以上,Unknown
AIGC算法工程师,深圳-南山区,20-35k·14薪,3-5年,硕士,"算法研究,优化算法,算法优化",极视角,人工智能,100-499人,C轮
AIGC算法工程师,深圳,30-60k,3-5年,本科,"深度学习,算法研究,算法开发,PyTorch,深度学习框架",某长沙大型互联网公司,互联网,1000-2000人,B轮
AIGC产品经理,深圳-南山区,40-70k·16薪,5-10年,统招本科,"AI人工智能产品,广告产品",腾讯,互联网,10000人以上,港股上市
AIGC算法工程师,深圳,25-50k,3-5年,统招本科,"深度学习,算法研究,算法开发,PyTorch,深度学习框架",某长沙大型互联网公司,互联网,1000-2000人,B轮
计算机视觉算法工程师（AIGC方向）,深圳-福田区,60-90k·16薪,3-5年,博士,"算法优化,优化算法,Q-learning",广州嘉狐科技有限公司,互联网,100-499人,Unknown
AIGC实习生,深圳-南山区,4-6k,经验不限,本科,"AIGC应用,AI模板,广告设计,stable diffusion",熠谱科技,互联网,100-499人,Unknown
AIGC产品经理,深圳-福田区,20-30k,经验不限,本科,AI人工智能产品,光追比特(深圳)科技有限公司,游戏,1-49人,Unknown
AIGC算法专家,深圳-南山区,30-60k·15薪,1-3年,硕士,算法研究,字节跳动,互联网,10000人以上,其他
AIGC场景设计师,深圳-南山区,11-19k,1-3年,本科,"场景设计,创意设计,工业设计,Illustrator",深圳市创想数维科技有限公司,计算机软件,1-49人,战略投资
AIGC设计师,深圳-南山区,12-24k,3-5年,本科,"视觉设计,创意设计,Illustrator",熠谱科技,互联网,100-499人,Unknown
售前工程师（AIGC方向）,深圳-福田区,25-30k,5-10年,本科,Unknown,中软国际科技,IT服务,10000人以上,Unknown
Aigc算法前瞻预研博士,深圳-福田区,70-90k,5-10年,博士,Unknown,北京拉普瑞斯科技有限公司,科技推广服务,1-49人,Unknown
AIGC算法工程师,深圳,40-60k,3-5年,硕士,深度学习,深圳市无限进制科技有限公司,在线社交/媒体,500-999人,Unknown
AIGC算法,深圳-南山区,25-40k·15薪,3-5年,本科,"GPT,AI,智能问答,AIGC",道通科技,汽车零部件及配件,1000-2000人,科创板上市
端智能算法工程师（AIGC方向）,深圳-福田区,30-60k,5-10年,统招本科,语言模型,vivo,互联网,5000-10000人,Unknown
AIGC,深圳-南山区,20-35k,3-5年,本科,"成像算法,GAN,深度学习",阿特莱斯(北京)网络科技有限公司,电子商务,100-499人,其他
AI产品负责人（AIGC|数字人),深圳,30-60k,5-10年,学历不限,"AI人工智能产品,人工智能,产品规划,团队管理,产品优化,竞品分析",某深圳大型互联网公司,云计算/大数据,500-999人,不需要融资
AIGC资深产品经理/总监 (MJ000918),深圳-南山区,20-40k,5-10年,本科,"AIGC,to B",思谋科技,人工智能,500-999人,B轮
视觉算法工程师（stable diffusion/AIGC）,深圳-南山区,50-70k·14薪,1-3年,统招本科,"diffusion,AIGC",顺丰科技,互联网,2000-5000人,Unknown
Aigc算法专家,深圳,50-70k·15薪,5-10年,学历不限,"算法优化,图像拼接,图像重建,算法识别,图像开发,图像优化,人脸识别,图像识别,图像变换,图像增强",某知名公司,在线社交/媒体,500-999人,B轮
AIGC效果设计师 (MJ000458),深圳-南山区,15-25k·15薪,经验不限,本科,"插画设计,Illustrator,Photoshop",美图公司,在线社交/媒体,500-999人,已上市
算法工程师（AIGC）,深圳-福田区,15-30k,1-3年,本科,Unknown,光汇石油,石化,500-999人,融资未公开
AIGC技术资深产品经理,深圳-南山区,20-30k,3-5年,本科,"AI人工智能产品,人工智能,用户研究,产品规划,产品设计",某国内知名上市公司,计算机硬件,10000人以上,已上市
AIGC产品经理（腾讯视频）,深圳-南山区,40-70k·16薪,5-10年,本科,"动漫,直播/视频产品,社区/社交产品,IT互联网",腾讯,互联网,10000人以上,港股上市
海外广告投放（AIGC）,深圳,25-45k·14薪,5-10年,学历不限,"海外媒介,海外投放,海外广告投放,海外产品,海外运营",某知名公司,在线社交/媒体,500-999人,B轮
算法研究员（NLP/大模型/AIGC/数字人）,深圳,35-65k·15薪,经验不限,博士,自然语言处理,某知名公司,基金/证券/期货,5000-10000人,融资未公开
混元高级SRE运维工程师(AIGC),深圳-南山区,20-40k·16薪,3-5年,统招本科,"系统运维,业务运维,自动化运维,DevOps",腾讯,互联网,10000人以上,港股上市
AIGC算法（博士）,深圳-光明区,30-60k·14薪,经验不限,博士,"控制算法,算法研究",和而泰,智能硬件,5000-10000人,沪深A股上市
高级SRE运维工程师/专家(AIGC),深圳-南山区,30-50k·15薪,5-10年,本科,"系统运维,业务运维,自动化运维,DevOps",腾讯,互联网,10000人以上,港股上市
AIGC产品经理 (MJ002510),深圳-南山区,30-50k·15薪,3-5年,统招本科,"直播/视频产品,产品优化,交互设计,用户研究,产品设计,产品规划,市场调研,需求挖掘",万兴科技,计算机软件,1000-2000人,创业板上市
AIGC产品策划经理 (MJ002631),深圳-南山区,40-50k·16薪,5-10年,本科,"工具产品,数据产品,IT互联网,产品规划,产品设计,数据分析,产品优化",万兴科技,计算机软件,1000-2000人,创业板上市
AIGC产品经理,深圳-南山区,20-40k·15薪,1-3年,本科,"互联网产品,AIGC,AI人工智能产品",TCL实业控股股份有限公司,电子/半导体/集成电路,10000人以上,Unknown
AIGC技术资深产品经理,深圳,30-60k,5-10年,本科,"AIGC,AI产品,产品经理",某国内计算机硬件上市公司,计算机硬件,10000人以上,已上市
战略产品规划经理（AIGC）,深圳-南山区,70-90k,5-10年,学历不限,"商业产品,直播/视频产品,海外产品,工具产品,AIGC",某国内计算机软件上市公司,计算机软件,1000-2000人,已上市
高级 AIGC 产品经理,深圳,20-40k,经验不限,统招本科,"数据产品,IT互联网",某深圳大型计算机硬件公司,计算机硬件,500-999人,融资未公开
AIGC多模态视觉算法—工程师,深圳,80-110k,3-5年,统招本科,"AIGC多模态视觉算法,Diffusion Mode,多模态及Generative A,有image-to-text,图像生成,掌握Python、C++等编程语,了解TensorRT加速库有落地",某国内大型货运/物流/仓储公司,货运/物流/仓储,500-999人,融资未公开
AIGC算法工程师,深圳,30-60k·15薪,3-5年,硕士,"Python,C++,Cython,PyTorch,TensorFlow,Objective-C,C/C++,C语言",某知名公司,互联网,2000-5000人,融资未公开
AIGC产品规划经理 (MJ002631),深圳-南山区,40-50k·16薪,5-10年,统招本科,"数据产品,海外产品,工具产品,IT互联网,产品规划,产品设计,数据分析,产品优化",万兴科技,计算机软件,1000-2000人,创业板上市
AIGC产品经理 (MJ002510),深圳-南山区,25-55k·15薪,5-10年,统招本科,"产品规划,工具产品,海外产品,IT互联网,to C,墨刀,数据分析",万兴科技,计算机软件,1000-2000人,创业板上市
AIGC产品经理,深圳-南山区,35-55k·16薪,3-5年,统招本科,"安全产品,数据产品,用户研究,产品规划,产品设计,数据分析,团队管理",道通科技,汽车零部件及配件,1000-2000人,科创板上市
AIGC大模型算法工程师,深圳-福田区,35-60k,1-3年,本科,"CNN,LSTM,RNN,视觉处理,GAN,图像处理,深度学习,PyTorch,TensorFlow",荣耀终端有限公司,通信设备,10000人以上,其他
混元AIGC产品经理,深圳-南山区,20-50k·14薪,5-10年,本科,"增长产品,策略产品,用户研究,产品规划,产品优化,产品设计",腾讯,互联网,10000人以上,港股上市
AIGC算法,深圳,25-55k·15薪,3-5年,统招本科,Unknown,北京乐我无限科技有限责任公司,在线社交/媒体,500-999人,B轮
产品规划经理（AIGC云） (MJ002551),深圳-南山区,30-60k·15薪,3-5年,统招本科,"产品规划,AI人工智能产品,SaaS产品,海外产品,直播/视频产品,IT互联网,to C,云平台",万兴科技,计算机软件,1000-2000人,创业板上市
3D Aigc前瞻预研博士,深圳-南山区,70-90k,5-10年,博士,3D场景重建,北京拉普瑞斯科技有限公司,科技推广服务,1-49人,Unknown
AIGC模型算法工程师,深圳-南山区,55-60k,3-5年,统招本科,Unknown,北京九州瀚诺企业管理有限公司,专业技术服务,1-49人,融资未公开
中高级产品经理（AIGC+TO B+软件）,深圳-南山区,20-30k,3-5年,大专,"SaaS系统,OA系统,产品设计,产品规划,团队管理",高量引擎,计算机软件,1-49人,其他
AIGC产品策划经理,深圳-南山区,25-40k,3-5年,本科,"直播/视频产品,用户研究,需求挖掘,交互设计,产品设计,市场调研,产品优化,产品规划",万兴科技,计算机软件,1000-2000人,创业板上市
AIGC开发工程师（JAVA）,深圳-南山区,20-30k·15薪,3-5年,本科,"后端开发,Java,AICG,智能问答,大模型",道通科技,汽车零部件及配件,1000-2000人,科创板上市
AIGC产品经理,深圳-南山区,50-80k·15薪,5-10年,本科,"策略产品,IT互联网,人工智能,产品设计,产品规划,团队管理,产品优化,用户研究",腾讯,互联网,10000人以上,港股上市
AI产品负责人（AIGC/数字人),深圳,30-50k,5-10年,本科,"AI人工智能产品,人工智能,产品规划,团队管理,产品优化,用户研究,竞品分析",某深圳大型互联网公司,云计算/大数据,500-999人,不需要融资
AI产品经理(AIGC),深圳-南山区,18-35k,3-5年,本科,"社交产品,AI人工智能产品,IT互联网,游戏产品,游戏运营,to C,产品规划,用户研究,海外产品",深圳市新旦智能科技有限责任公司,互联网,1-49人,天使轮
AIGC内容运营,深圳-南山区,11-20k,1-3年,统招本科,Unknown,熠谱科技,互联网,100-499人,Unknown
AIGC产品经理 (MJ002514),深圳-南山区,30-50k·15薪,3-5年,本科,"直播/视频产品,用户研究,需求管理,团队管理",万兴科技,计算机软件,1000-2000人,创业板上市
高级AIGC产品经理,深圳,40-50k·16薪,5年以上,学历不限,"海外产品,画像产品,AI人工智能产品,直播/视频产品,语音产品,社区/社交产品,to C,移动端产品",某知名公司,在线社交/媒体,500-999人,B轮
【深圳】AIGC大模型_数据产品经理,深圳-南山区,35-65k·16薪,5-10年,统招本科,"数据产品,平台产品,工具产品,数据挖掘,数据分析,产品优化",腾讯,互联网,10000人以上,港股上市
高级数据分析师（人工智能AIGC头部）,深圳,60-80k,5-10年,本科,"数据分析,IT/信息化领域,人工智能领域,数据治理,AI产品",某深圳计算机软件上市公司,计算机软件,1000-2000人,已上市
高级架构师（人工智能AIGC头部）,深圳,80-100k,5-10年,本科,"架构设计,运维管理,非关系型数据库,关系型数据库,分布式数据库,消息队列",某深圳计算机软件上市公司,计算机软件,1000-2000人,已上市
AIGC科学家,深圳-南山区,150-200k·15薪,10年以上,硕士,"音频算法,语音识别,推荐算法,视觉处理,目标检测,图像分类,Caffe,MXNet,TensorFlow,Python",某知名公司,在线教育,100-499人,B轮
AIGC算法工程师（深圳）,深圳,15-25k,3-5年,本科,Python,柳工机械,机械/设备,10000人以上,沪深A股上市
AIGC科学家,深圳,100-130k·15薪,10年以上,硕士,Unknown,某知名公司,在线教育,100-499人,B轮
AIGC专家,深圳,30-50k·15薪,10年以上,统招本科,AI人工智能产品,某国内机械/设备上市公司,机械/设备,10000人以上,已上市
AIGC算法工程师,深圳,薪资面议,3-5年,统招本科,Python,柳工机械,机械/设备,10000人以上,沪深A股上市
AIGC开发,深圳-龙岗区,20-40k,1-3年,硕士,Unknown,深圳市冠旭电子股份有限公司,电子/半导体/集成电路,1000-2000人,Unknown
aigc图像生成,深圳,40-70k·18薪,5-10年,硕士,算法研究,某东莞大型互联网公司,互联网,5000-10000人,融资未公开
AIGC产品经理,深圳-南山区,30-50k·16薪,经验不限,学历不限,"IT互联网,团队管理,用户研究,产品设计",某深圳大型互联网/电商公司,互联网,10000人以上,已上市
AIGC 视觉生成算法研究员,深圳-福田区,60-85k·14薪,3-5年,硕士,"算法研究,成像算法,AIGC,视频生成,3D 重建,Text2Image,Image2video,InstantID,生成模型,Diffusion",某深圳互联网公司,互联网,50-99人,Unknown
混元机器学习平台运维工程师（AIGC/大模型方向）,深圳-南山区,25-50k·16薪,5-10年,本科,"Shell,容器,Python",腾讯,互联网,10000人以上,港股上市
AIGC产品经理,深圳-南山区,50-70k·15薪,5-10年,本科,"to B,AIGC,智能创作,视频创作",腾讯,互联网,10000人以上,港股上市
AIGC应用工程师,深圳,18-35k·13薪,3-5年,本科,"大数据算法,强化学习,知识图谱,GPT,自然语言处理,Java,C++,算法应用,语音识别,深度学习",深圳市视壮科技有限公司,批发/零售,100-499人,融资未公开
AIGC算法工程师（大模型方向）,深圳,30-60k·15薪,5-10年,硕士,"深度学习,算法优化,优化算法,深度学习框架",某北京电子/半导体/集成电路公司,电子/半导体/集成电路,100-499人,B轮
高级算法专家（多模态/AIGC）,深圳,60-90k·16薪,3-5年,硕士,"算法设计,算法研究,算法开发,Python,Java,C++,强化学习,自然语言处理,机器视觉,深度学习",某知名互联网上市公司,互联网,10000人以上,已上市
AIGC模型训练工程师,深圳-龙岗区,15-25k,经验不限,学历不限,"深度学习,LORA,SD,Stable Diffusion,模型训练",傲基科技,电子商务,2000-5000人,Unknown
虚拟人算法专家（AIGC）,深圳,40-70k,5-10年,硕士,"深度学习,算法开发,深度学习框架",某深圳人工智能公司,人工智能,50-99人,Unknown
AIGC专家,深圳,20-35k,5-10年,统招本科,"Python,Java",柳工机械,机械/设备,10000人以上,沪深A股上市
AIGC算法研究员（文生图方向）,深圳-南山区,35-60k·16薪,3-5年,本科,"算法开发,图像处理",腾讯,互联网,10000人以上,港股上市
AIGC产品经理,深圳-福田区,16-25k,3-5年,本科,"人工智能,智能硬件,产品设计,手机APP,标注团队管理,儿童游戏,to C",深圳市亿家亿伴智能科技有限公司,互联网,1-49人,Unknown
AIGC（人工智能）,深圳-龙华区,8-15k,1-3年,本科,"创意设计,Illustrator",深圳市思维高地服饰有限公司,文化艺术业,1-49人,Unknown
AIGC算法工程师,深圳,30-55k·15薪,1-3年,本科,"算法研究,GA算法,语言模型",无觅,在线教育,100-499人,B轮
AIGC-产品经理,深圳-南山区,26-35k,5-10年,统招本科,"电子商务,产品规划",某人力资源服务公司,专业服务,1-49人,Unknown
AI产品经理,深圳-南山区,20-30k·13薪,3-5年,统招本科,aigc,兔展-RabbitPre,互联网,100-499人,D轮
算法负责人,深圳,100-130k,经验不限,硕士,Unknown,某知名公司,互联网,50-99人,Unknown
视觉生成算法研究员(地点不限制）,深圳,60-90k·15薪,5-10年,学历不限,"机器视觉,图像识别,AIGC,AI",某深圳互联网公司,互联网,50-99人,Unknown
视觉生成算法,深圳,30-60k·14薪,3-5年,统招本科,"视频生成,AIGC,生成模型",某深圳互联网公司,互联网,50-99人,Unknown
算法工程师,深圳-福田区,50-55k,3-5年,学历不限,Unknown,某深圳互联网公司,互联网,50-99人,Unknown
多模态智能算法工程师/专家-智能创作,深圳-南山区,30-60k·15薪,1-3年,本科,"机器视觉,Python,Objective-C,C/C++,C语言,C++",字节跳动,互联网,10000人以上,其他
深度学习算法工程师(A150460),深圳-宝安区,30-50k,1-3年,本科,"深度学习,深度学习框架",影石Insta360,计算机硬件,1000-2000人,D轮
AI产品经理,深圳-南山区,30-50k·15薪,3-5年,本科,"AI人工智能产品,人工智能,产品规划,产品设计,市场调研,需求分析,团队管理",金蝶,互联网,5000-10000人,已上市
AI产品经理（增长创新方向）-剪映CapCut,深圳-南山区,20-40k,3-5年,本科,"内容产品,增长产品,AI人工智能产品,人工智能,to C,产品规划,数据分析,产品设计,用户研究,市场调研",字节跳动,互联网,10000人以上,其他
AI产品经理,深圳-南山区,20-35k,经验不限,本科,AIGC,知学云(北京)科技股份有限公司,在线教育,500-999人,C轮
国际化产品研发中心（深圳）_AI原生应用资深专家(J58531),深圳-南山区,50-80k·16薪,5-10年,统招本科,Unknown,Baidu,互联网,10000人以上,美股上市
高级算法工程师-L9929K,深圳-南山区,30-45k·18薪,3-5年,统招本科,"TensorFlow,PyTorch",OPPO,通信设备,10000人以上,Unknown
增长算法工程师,深圳-南山区,40-80k·15薪,5-10年,本科,"自然语言处理,PyTorch",字节跳动,互联网,10000人以上,其他
游戏AI产品,深圳-南山区,30-45k·16薪,5-10年,本科,"to C,游戏策划,AI产品,游戏玩法",某深圳大型互联网公司,互联网,10000人以上,融资未公开
大模型-资深设计师/UED负责人,深圳-南山区,25-45k,5-10年,统招本科,大模型,商汤科技SenseTime,计算机软件,2000-5000人,港股上市
高级图像算法工程师,深圳-宝安区,80-110k·16薪,5-10年,本科,"视觉处理,GAN,图像处理,深度学习,图像增强,深度学习框架,PyTorch,图像采集,图像融合,人脸识别",某大型知名互联网公司,互联网,5000-10000人,融资未公开
视觉生成算法负责人,深圳-福田区,45-75k·14薪,经验不限,硕士,Unknown,图灵协同,互联网,50-99人,Unknown
AICG设计师（运动器械）,深圳-龙华区,50-60k,3-5年,本科,"ChatGPT,Midjourney,Stable Diffusion,control net",猎头公司,专业服务,100-499人,融资未公开
大模型安全技术专家,深圳,70-100k·15薪,5-10年,统招本科,"AI,安全,AI安全,大模型,大模型安全",某知名企业,互联网/电商,10000人以上,融资未公开
AI与大模型安全技术专家,深圳-福田区,30-60k·16薪,经验不限,本科,"数据安全,DBA",荣耀终端有限公司,通信设备,10000人以上,其他
AI产品经理,深圳,30-50k·13薪,5-10年,本科,"用户研究,需求挖掘,产品设计",某知名公司,互联网,50-99人,融资未公开
算法专家（大模型方向）,深圳-南山区,40-70k·15薪,5-10年,统招本科,大模型、agen,道通科技,汽车零部件及配件,1000-2000人,科创板上市
算法工程师,深圳-福田区,30-50k·16薪,经验不限,本科,"算法研究,深度学习,CNN,优化算法,算法优化",南京荣耀软件技术有限公司,智能硬件,10000人以上,Unknown
AI开发,深圳-南山区,24-40k,3-5年,统招本科,Unknown,道通科技,汽车零部件及配件,1000-2000人,科创板上市
深度学习算法工程师(AI图像编辑方向),深圳-宝安区,30-60k,3-5年,硕士,深度学习,影石Insta360,计算机硬件,1000-2000人,D轮
算法工程师,深圳-南山区,13-26k·13薪,1-3年,本科,"语言模型,TensorFlow,PyTorch",深圳核韬科技有限公司,专业技术服务,1-49人,Unknown
AI产品经理（国企大厂+AI数字人）,深圳,20-40k·16薪,3-5年,统招本科,"AI数字人,元宇宙,AIGC产品,数字藏品",某国内互联网公司,互联网,100-499人,不需要融资
AI技术合伙人/总监,深圳,80-100k·15薪,5-10年,统招本科,"Python,web应用开发",某知名公司,批发/零售,Unknown,Unknown
大模型-业务战略与分析经理,深圳-南山区,20-40k·15薪,3-5年,统招本科,"信息收集,战略分析,企业管理咨询",商汤科技SenseTime,计算机软件,2000-5000人,港股上市
AI运营操盘手,深圳,30-50k,3-5年,大专,Unknown,某深圳大型互联网公司,云计算/大数据,500-999人,不需要融资
AI架构师,深圳-南山区,35-50k·13薪,10年以上,统招本科,"电商,AIGC,AI,java",某深圳互联网公司,互联网,50-99人,融资未公开
算法工程师,深圳,30-60k,3-5年,学历不限,"算法研究,深度学习",某上海电子/半导体/集成电路公司,电子/半导体/集成电路,50-99人,融资未公开
算法工程师,深圳,30-60k·15薪,3-10年,本科,Unknown,某深圳电子技术上市公司,电子/半导体/集成电路,5000-10000人,已上市
大模型产品专家-ERP领域,深圳-南山区,70-100k,10年以上,本科,"人工智能,ERP产品,产品规划,产品设计,to B,IT互联网,AI人工智能产品",金蝶,互联网,5000-10000人,已上市
AI算法专家/工程师,深圳-南山区,40-70k·15薪,5-10年,本科,自然语言处理,道通科技,汽车零部件及配件,1000-2000人,科创板上市
大模型-产品设计师（UI/UX）,深圳-南山区,20-40k·15薪,3-5年,统招本科,"UI设计,UX",商汤科技SenseTime,计算机软件,2000-5000人,港股上市
AI工程师（Python),深圳-福田区,15-25k·18薪,3-5年,本科,"远程办公,Python",北京必来屋网络科技有限公司,互联网,100-499人,Unknown
AI研发工程师（线上办公）,深圳-南山区,15-25k·15薪,经验不限,统招本科,Python,北京必来屋网络科技有限公司,互联网,100-499人,Unknown
研发副总监（AI应用方向）,深圳,30-40k,3-5年,统招本科,"技术战略,技术支持,软件开发",某深圳电子/半导体/集成电路公司,IT服务,50-99人,Unknown
AI行业销售,深圳-南山区,8-10k,经验不限,学历不限,"saas,客户管理,销售管理,IT/互联网/软件,SaaS系统",出门问问,互联网,100-499人,港股上市
资深nlp算法工程师,深圳-福田区,30-60k·18薪,5-10年,硕士,"自然语言处理,深度学习,算法设计,算法识别,算法优化,Python,C++,情感识别,信息检索,机器翻译",光汇石油,石化,500-999人,融资未公开
AI技术合伙人/总监,深圳,40-70k,5-10年,学历不限,Python,某深圳云计算/大数据公司,云计算/大数据,1-49人,Unknown
AI技术研发岗,深圳,50-70k·16薪,8年以上,硕士,"图像检测,算法设计,视觉算法,算法研究",某大型IT服务公司,IT服务,2000-5000人,融资未公开
AI技术合伙人/总监,深圳-南山区,35-65k·14薪,5-10年,本科,"技术支持,web开发,Python,MySQL,PostgreSQL",某深圳云计算/大数据公司,云计算/大数据,1-49人,Unknown
阿里云智能-行业解决方案架构师（泛企业方向）-广东,深圳,10-20k,经验不限,本科,"云计算领域,架构设计",阿里云,互联网,10000人以上,融资未公开
AI技术总监/合伙人,深圳-南山区,60-90k,5-10年,本科,"Web开发,Python",某深圳云计算/大数据公司,云计算/大数据,1-49人,Unknown
AI产品负责人,深圳-南山区,60-85k·16薪,10年以上,统招本科,"SaaS产品,ERP产品,产品规划,to B,市场调研",金蝶,互联网,5000-10000人,已上市
大模型安全技术专家,深圳-福田区,40-70k·16薪,5-10年,硕士,Unknown,某大型通信设备公司,通信设备,10000人以上,战略融资
AI创新产品高级总监,深圳-南山区,50-80k·14薪,10年以上,本科,"AI人工智能产品,人工智能,SaaS系统,to B,产品规划,产品设计",金蝶,互联网,5000-10000人,已上市
AI算法工程师（线上办公）,深圳-南山区,15-25k,经验不限,统招本科,"算法开发,语言模型",北京必来屋网络科技有限公司,互联网,100-499人,Unknown
AI开源生态专家,深圳,40-60k,3年以上,学历不限,"售前技术支持,AI,解决方案,开源",某深圳IT服务公司,IT服务,50-99人,战略融资
算法工程师,深圳,30-40k,5-10年,硕士,"知识图谱,自然语言处理,成像算法",斯科尔科技,批发/零售,5000-10000人,融资未公开
AI产品经理,深圳,20-40k·15薪,3-5年,本科,"AI人工智能产品,策略产品,人工智能,产品设计,产品规划,用户研究,产品优化,团队管理",某长沙大型互联网公司,互联网,1000-2000人,B轮
AI性能资深系统架构师,深圳,40-70k,5-10年,硕士,Unknown,某深圳通信设备上市公司,通信设备,10000人以上,已上市
大模型语料优化师(A98961),深圳-南山区,8-12k·15薪,1-3年,大专,Unknown,道通科技,汽车零部件及配件,1000-2000人,科创板上市
AI大数据岗,深圳,薪资面议,3-5年,统招本科,"TensorFlow,PyTorch",中国国际海运集装箱(集团),机械/设备,10000人以上,沪深A股上市
